Date,Open,High,Low,Close,Adj Close,Volume
2019-08-07,4.835000,4.953000,4.800000,4.936000,4.352700,2217359
2019-08-08,4.973000,5.080000,4.926000,5.012000,4.419719,2662343
2019-08-09,5.022000,5.022000,4.826000,4.892000,4.313899,1903548
2019-08-12,4.909000,4.944000,4.800000,4.832000,4.260989,2091504
2019-08-13,4.790000,4.813000,4.693000,4.789000,4.223071,2289122
2019-08-14,4.773000,4.839000,4.583000,4.610000,4.065224,4073148
2019-08-15,4.634000,4.634000,4.496000,4.554000,4.015841,2323343
2019-08-16,4.550000,4.617000,4.516000,4.616000,4.070515,1916562
2019-08-19,4.664000,4.745000,4.625000,4.639000,4.090796,1598249
2019-08-20,4.648000,4.660000,4.532000,4.564000,4.024660,1251450
2019-08-21,4.580000,4.633000,4.573000,4.605000,4.060815,1130436
2019-08-22,4.597000,4.716000,4.554000,4.631000,4.083742,1840101
2019-08-23,4.667000,4.757000,4.624000,4.624000,4.077569,1475759
2019-08-26,4.599000,4.628000,4.570000,4.576000,4.035242,1294238
2019-08-27,4.609000,4.746000,4.580000,4.670000,4.118134,1582112
2019-08-28,4.652000,4.676000,4.533000,4.591000,4.048469,2817538
2019-08-29,4.582000,4.698000,4.549000,4.681000,4.127834,1720528
2019-08-30,4.683000,4.732000,4.650000,4.664000,4.112843,1342113
2019-09-02,4.640000,4.730000,4.640000,4.674000,4.121661,874648
2019-09-03,4.662000,4.667000,4.571000,4.607000,4.062578,2090898
2019-09-04,4.670000,4.740000,4.659000,4.696000,4.141061,1441781
2019-09-05,4.752000,4.819000,4.710000,4.792000,4.225717,1754712
2019-09-06,4.787000,4.830000,4.747000,4.794000,4.227480,1220062
2019-09-09,4.801000,4.801000,4.635000,4.734000,4.174571,2332301
2019-09-10,4.740000,5.026000,4.740000,4.924000,4.342117,3658272
2019-09-11,4.976000,5.096000,4.972000,5.060000,4.462046,2210400
2019-09-12,5.080000,5.124000,5.030000,5.102000,4.499083,2338033
2019-09-13,5.106000,5.200000,5.050000,5.150000,4.541411,1974448
2019-09-16,5.050000,5.086000,4.850000,5.040000,4.444409,3395994
2019-09-17,5.022000,5.028000,4.894000,4.987000,4.397673,5031939
2019-09-18,4.971000,5.068000,4.910000,5.060000,4.462046,3380891
2019-09-19,5.100000,5.264000,5.060000,5.264000,4.641939,2852299
2019-09-20,5.284000,5.432000,5.274000,5.412000,4.772449,5415369
2019-09-23,5.378000,5.500000,5.290000,5.332000,4.701903,1994342
2019-09-24,5.340000,5.486000,5.332000,5.412000,4.772449,1803298
2019-09-25,5.380000,5.430000,5.328000,5.430000,4.788322,2639029
2019-09-26,5.274000,5.330000,5.122000,5.200000,4.585502,6665461
2019-09-27,5.216000,5.320000,5.164000,5.316000,4.687794,7061779
2019-09-30,5.324000,5.380000,5.320000,5.344000,4.712485,3830812
2019-10-01,5.390000,5.470000,5.336000,5.338000,4.707194,2466646
2019-10-02,5.334000,5.340000,5.200000,5.218000,4.601375,4616101
2019-10-03,5.204000,5.204000,5.034000,5.112000,4.507901,2856614
2019-10-04,5.134000,5.138000,5.044000,5.088000,4.486737,2091086
2019-10-07,5.098000,5.268000,5.060000,5.246000,4.626066,1457370
2019-10-08,5.282000,5.282000,5.024000,5.126000,4.520247,2458081
2019-10-09,5.118000,5.182000,5.090000,5.098000,4.495555,1018187
2019-10-10,5.110000,5.192000,5.088000,5.168000,4.557284,1037233
2019-10-11,5.210000,5.760000,5.210000,5.720000,5.044052,9724544
2019-10-14,5.710000,5.720000,5.450000,5.644000,4.977034,2892236
2019-10-15,5.678000,5.992000,5.678000,5.944000,5.241581,5387317
2019-10-16,5.930000,5.970000,5.770000,5.922000,5.222181,4455405
2019-10-17,5.876000,6.190000,5.824000,5.918000,5.218654,6094329
2019-10-18,5.900000,6.002000,5.850000,5.888000,5.192199,4617672
2019-10-21,5.894000,6.146000,5.894000,6.106000,5.384437,3810973
2019-10-22,6.080000,6.134000,5.954000,5.988000,5.280382,2370851
2019-10-23,5.976000,6.028000,5.842000,5.940000,5.238054,6628175
2019-10-24,5.966000,6.050000,5.956000,5.992000,5.283909,1824739
2019-10-25,5.980000,6.032000,5.882000,6.014000,5.303309,2096418
2019-10-28,5.996000,6.078000,5.988000,6.036000,5.322709,1947144
2019-10-29,6.004000,6.118000,5.978000,6.080000,5.361510,3632435
2019-10-30,6.120000,6.156000,5.984000,6.036000,5.322709,3597282
2019-10-31,5.998000,6.188000,5.802000,6.158000,5.430293,2755125
2019-11-01,6.180000,6.298000,6.166000,6.290000,5.546694,2179392
2019-11-04,6.400000,6.426000,6.308000,6.358000,5.606658,3959638
2019-11-05,6.410000,6.410000,6.306000,6.312000,5.566093,1806567
2019-11-06,6.330000,6.388000,6.316000,6.340000,5.590785,1632694
2019-11-07,6.376000,6.464000,6.290000,6.326000,5.578440,1872440
2019-11-08,6.276000,6.324000,6.118000,6.280000,5.537875,3216028
2019-11-11,6.278000,6.340000,6.196000,6.302000,5.557276,2085984
2019-11-12,6.346000,6.380000,6.288000,6.346000,5.596076,2720850
2019-11-13,6.320000,6.320000,6.204000,6.298000,5.553748,1720954
2019-11-14,6.272000,6.358000,6.220000,6.332000,5.583730,1187828
2019-11-15,6.376000,6.540000,6.350000,6.518000,5.747750,4426083
2019-11-18,6.540000,6.596000,6.404000,6.414000,5.656040,10913128
2019-11-19,6.484000,6.512000,6.414000,6.454000,5.691313,8316187
2019-11-20,6.434000,6.510000,6.382000,6.416000,5.657804,1883243
2019-11-21,6.382000,6.404000,6.322000,6.382000,5.627822,1784332
2019-11-22,6.404000,6.470000,6.380000,6.458000,5.694841,2302935
2019-11-25,6.500000,6.626000,6.498000,6.622000,5.839460,1994364
2019-11-26,6.608000,6.668000,6.580000,6.650000,5.864151,1833630
2019-11-27,6.680000,6.710000,6.618000,6.684000,5.894134,4380662
2019-11-28,6.568000,6.652000,6.550000,6.602000,5.906778,1329206
2019-11-29,6.610000,6.610000,6.462000,6.500000,5.815518,2408107
2019-12-02,6.480000,6.530000,6.342000,6.342000,5.674157,12100916
2019-12-03,6.338000,6.446000,6.238000,6.310000,5.645526,7946282
2019-12-04,6.348000,6.500000,6.340000,6.500000,5.815518,1372036
2019-12-05,6.490000,6.506000,6.448000,6.492000,5.808361,7380084
2019-12-06,6.502000,6.674000,6.488000,6.642000,5.942565,3033837
2019-12-09,6.620000,6.660000,6.552000,6.552000,5.862043,1043016
2019-12-10,6.536000,6.536000,6.410000,6.476000,5.794046,1100774
2019-12-11,6.502000,6.536000,6.432000,6.482000,5.799414,3133093
2019-12-12,6.504000,6.636000,6.504000,6.570000,5.878148,8411421
2019-12-13,6.950000,7.566000,6.928000,7.544000,6.749580,17268080
2019-12-16,7.506000,7.690000,7.506000,7.652000,6.846207,3516689
2019-12-17,7.588000,7.662000,7.318000,7.344000,6.570641,8442102
2019-12-18,7.330000,7.402000,7.314000,7.376000,6.599271,1577168
2019-12-19,7.400000,7.432000,7.280000,7.320000,6.549169,1146106
2019-12-20,7.338000,7.400000,7.282000,7.400000,6.620744,1760797
2019-12-23,7.360000,7.376000,7.284000,7.284000,6.516960,6188931
2019-12-24,7.280000,7.362000,7.280000,7.340000,6.567063,393371
2019-12-25,7.340000,7.340000,7.340000,7.340000,6.567063,0
2019-12-27,7.350000,7.398000,7.328000,7.372000,6.595693,861842
2019-12-30,7.352000,7.376000,7.300000,7.300000,6.531275,857080
2019-12-31,7.300000,7.362000,7.182000,7.220000,6.459699,877608
2020-01-02,7.366000,7.494000,7.364000,7.474000,6.686952,17591235
2020-01-03,7.362000,7.380000,7.238000,7.314000,6.543800,3535600
2020-01-06,7.238000,7.238000,7.024000,7.146000,6.393492,2809487
2020-01-07,7.180000,7.304000,7.168000,7.256000,6.491908,2360838
2020-01-08,7.180000,7.290000,7.050000,7.282000,6.515170,2580349
2020-01-09,7.390000,7.456000,7.314000,7.442000,6.658321,2088028
2020-01-10,7.500000,7.872000,7.464000,7.784000,6.964307,4902549
2020-01-13,7.792000,7.794000,7.610000,7.634000,6.830103,1504283
2020-01-14,7.650000,7.672000,7.518000,7.568000,6.771053,1372286
2020-01-15,7.570000,7.570000,7.402000,7.508000,6.717371,1592146
2020-01-16,7.510000,7.582000,7.410000,7.482000,6.694109,997697
2020-01-17,7.632000,8.020000,7.632000,7.876000,7.046619,4025436
2020-01-20,7.870000,7.870000,7.702000,7.706000,6.894521,1980473
2020-01-21,7.618000,7.620000,7.402000,7.490000,6.701267,7603712
2020-01-22,7.500000,7.574000,7.438000,7.538000,6.744212,2329742
2020-01-23,7.480000,7.494000,7.200000,7.220000,6.459699,2636395
2020-01-24,7.372000,7.458000,7.282000,7.340000,6.567063,2233813
2020-01-27,7.110000,7.132000,6.876000,6.956000,6.223499,4867159
2020-01-28,6.968000,7.038000,6.804000,6.984000,6.248551,2601626
2020-01-29,7.000000,7.072000,6.966000,6.992000,6.255709,2294646
2020-01-30,6.886000,6.916000,6.750000,6.808000,6.091085,2426076
2020-01-31,6.838000,6.940000,6.756000,6.756000,6.044560,1898390
2020-02-03,6.786000,6.850000,6.650000,6.758000,6.046350,1674983
2020-02-04,6.840000,7.026000,6.764000,7.014000,6.275392,2535954
2020-02-05,7.012000,7.518000,6.976000,7.278000,6.511591,4782825
2020-02-06,7.400000,7.418000,7.294000,7.318000,6.547379,2219180
2020-02-07,7.316000,7.316000,7.150000,7.182000,6.425701,1197262
2020-02-10,7.190000,7.192000,7.090000,7.164000,6.409596,1117892
2020-02-11,7.300000,7.486000,7.296000,7.452000,6.667268,2501679
2020-02-12,7.438000,7.646000,7.438000,7.606000,6.805051,2183805
2020-02-13,7.534000,7.588000,7.442000,7.558000,6.762106,1570774
2020-02-14,7.582000,7.730000,7.566000,7.666000,6.858733,2214824
2020-02-17,7.720000,7.740000,7.646000,7.694000,6.883784,1155558
2020-02-18,5.059880,5.082421,5.021427,5.038665,4.508069,1713934
2020-02-19,5.094355,5.131482,5.058554,5.112919,4.574504,2539924
2020-02-20,5.070488,5.071814,4.989604,5.005516,4.478411,2032528
2020-02-21,4.964411,4.994908,4.898112,4.937891,4.417907,3810062
2020-02-24,4.508279,4.634245,4.460544,4.472478,4.001504,7558028
2020-02-25,4.514909,4.632919,4.359771,4.375682,3.914901,10521559
2020-02-26,4.309384,4.452588,4.225848,4.388942,3.926765,9006631
2020-02-27,4.269605,4.281539,3.836015,4.000434,3.579169,10188630
2020-02-28,3.735242,3.910269,3.561540,3.649054,3.264791,14704951
2020-03-02,3.832037,3.833363,3.169055,3.289054,2.942701,19965837
2020-03-03,3.381209,3.580104,3.362645,3.529717,3.158021,17455672
2020-03-04,3.537673,3.545629,3.385187,3.410380,3.051250,11943662
2020-03-05,3.491264,3.500546,3.229386,3.245961,2.904145,10833412
2020-03-06,3.149165,3.325518,3.017232,3.295021,2.948039,15909418
2020-03-09,3.032480,3.239994,2.957563,3.169718,2.835931,19494339
2020-03-10,3.248613,3.503198,3.145187,3.177673,2.843049,15036094
2020-03-11,3.239331,3.304966,2.997342,3.010602,2.693571,12117981
2020-03-12,2.820989,2.820989,2.498117,2.509387,2.245136,18614045
2020-03-13,2.789166,2.840215,2.401984,2.616127,2.340636,11409211
2020-03-16,2.254139,2.254139,1.809278,1.886184,1.687560,26222973
2020-03-17,2.019443,2.022095,1.644195,1.734361,1.551724,21404956
2020-03-18,1.705190,1.722427,1.553367,1.559334,1.395129,14520811
2020-03-19,1.612372,1.612372,1.392262,1.410163,1.261666,14402041
2020-03-20,1.528837,1.630936,1.465190,1.565301,1.400467,16564259
2020-03-23,1.513588,1.513588,1.412152,1.433367,1.282426,10987604
2020-03-24,1.621654,1.624306,1.465190,1.553367,1.389790,16163143
2020-03-25,1.703864,1.810604,1.608394,1.672041,1.495967,19133803
2020-03-26,1.658781,1.743643,1.617676,1.684637,1.507236,13664445
2020-03-27,1.698560,1.705853,1.547400,1.579886,1.413516,12242820
2020-03-30,1.565964,1.601102,1.432704,1.514914,1.355386,9361656
2020-03-31,1.593809,1.642207,1.531489,1.616350,1.446141,9471779
2020-04-01,1.563975,1.591157,1.513588,1.513588,1.354200,8107167
2020-04-02,1.617676,1.617676,1.505632,1.530826,1.369623,8585149
2020-04-03,1.554030,1.582538,1.491710,1.491710,1.334626,8888453
2020-04-06,1.597787,1.714472,1.544748,1.690604,1.512575,13579734
2020-04-07,1.794029,1.987620,1.756902,1.821875,1.630023,33326585
2020-04-08,1.823864,1.914029,1.756902,1.886847,1.688153,14709743
2020-04-09,1.937897,2.002869,1.862980,1.864969,1.668579,18825268
2020-04-14,1.982316,1.982316,1.843090,1.843090,1.649004,26773069
2020-04-15,1.843090,1.869609,1.657455,1.660107,1.485290,20568174
2020-04-16,1.756902,1.773477,1.639555,1.658781,1.484103,11865844
2020-04-17,1.801985,1.830494,1.737676,1.779444,1.592060,13011037
2020-04-20,1.833808,1.836460,1.676682,1.723753,1.542233,11470062
2020-04-21,1.675356,1.745632,1.597787,1.713146,1.532743,12958176
2020-04-22,1.723753,1.745632,1.658781,1.690604,1.512575,8495601
2020-04-23,1.719112,1.744306,1.694582,1.718450,1.537489,6982319
2020-04-24,1.665411,1.681322,1.630936,1.650825,1.476985,10800408
2020-04-27,1.730383,1.743643,1.650825,1.676682,1.500119,7682000
2020-04-28,1.697234,1.702538,1.640881,1.660770,1.485883,8824501
2020-04-29,1.637566,1.752262,1.524859,1.746295,1.562402,28151895
2020-04-30,1.764858,1.843090,1.660770,1.690604,1.512575,21490806
2020-05-04,1.624306,1.624306,1.531489,1.555356,1.391569,23979856
2020-05-05,1.600439,1.601102,1.477124,1.495024,1.337591,19426581
2020-05-06,1.511599,1.558008,1.461875,1.500328,1.342336,13232597
2020-05-07,1.490384,1.544748,1.425411,1.451931,1.299036,21825908
2020-05-08,1.481765,1.503643,1.438008,1.491710,1.334626,7649316
2020-05-11,1.512925,1.514251,1.363754,1.400881,1.253361,30591217
2020-05-12,1.398892,1.404196,1.333257,1.369058,1.224890,12780569
2020-05-13,1.345190,1.359113,1.277566,1.302760,1.165573,17114551
2020-05-14,1.279555,1.286185,1.193368,1.266296,1.132949,19829144
2020-05-15,1.296130,1.323975,1.227511,1.257345,1.124940,12328387
2020-05-18,1.309721,1.400881,1.298119,1.398229,1.250989,25781260
2020-05-19,1.467179,1.568616,1.430715,1.514251,1.354793,43630793
2020-05-20,1.487732,1.504969,1.405522,1.469168,1.314457,15733952
2020-05-21,1.440660,1.556682,1.412152,1.530163,1.369030,21531522
2020-05-22,1.520218,1.523533,1.406185,1.418782,1.269377,25592125
2020-05-25,1.544748,1.630936,1.464527,1.609057,1.439615,38410204
2020-05-26,1.650825,1.748947,1.617676,1.737013,1.554097,48985166
2020-05-27,1.784748,1.955797,1.771488,1.832482,1.639513,64132476
2020-05-28,1.904748,1.916018,1.748284,1.816571,1.625277,39589052
2020-05-29,1.781433,1.797344,1.676019,1.683974,1.506643,31657563
2020-06-01,1.781433,1.816571,1.749610,1.804637,1.614600,24999430
2020-06-02,1.843753,1.896129,1.814582,1.862317,1.666206,27055095
2020-06-03,1.916018,2.078449,1.888173,2.074471,1.856019,49832338
2020-06-04,2.081764,2.153366,1.955797,2.120880,1.897541,64375290
2020-06-05,2.226294,2.441763,2.201764,2.436459,2.179888,67821285
2020-06-08,2.453034,2.683089,2.321763,2.470271,2.210140,76970820
2020-06-09,2.532592,2.612150,2.226957,2.313808,2.070153,52405260
2020-06-10,2.333697,2.380106,2.104968,2.148062,1.921861,52786378
2020-06-11,1.996902,2.028062,1.906736,1.945189,1.740351,54496885
